,value,var,isspike,Consumption_Oil,Consumption_Gas,Humidity,Precip,TempAvg,TempMax,TempMin,Wind_v,Wind_x,Wind_y,local_traffic,location,total_traffic,predicted,exp_value,reduction,error
2010-01-17,42.0,8.60752956529,0.0,13364.3151515,454637.16772,81.9583333333,0.57,3.48333333333,7.2,2.2,3.65217391304,0.629869899996,0.154772919891,0.285336714028,2.0,0.374973562797,25.4230356631,26.0641550342,-0.641119371063,16.5769643369
2010-01-18,13.7,3.89301678781,0.0,13535.069697,454265.697081,72.1666666667,0.05,6.27916666667,10.0,2.8,13.0,0.0391538591994,-0.0142508393052,0.142333088888,2.0,0.19635415818,23.8639161105,24.0710815033,-0.207165392862,-10.1639161105
2010-01-19,46.1,8.61316821307,0.0,13705.8242424,453894.226442,69.5416666667,0.0,6.5375,8.9,4.4,4.2,0.139250839305,-0.204554505284,0.158662406108,2.0,0.271552930907,27.2998029364,27.6298349096,-0.330031973284,18.8001970636
2010-01-20,26.4,7.46475754885,0.0,13876.5787879,453522.755802,61.3333333333,0.0,2.82916666667,5.0,1.1,6.29166666667,0.281113065443,-0.482391114032,0.244470825121,2.0,0.317804552436,22.0807189499,22.5553148158,-0.474595865858,4.31928105009
2010-01-21,25.8,4.7749952576,0.0,14047.3333333,453151.285163,56.0833333333,0.0,2.15,5.0,-0.6,3.04166666667,0.564037645396,-0.0249030198942,0.285848327716,2.0,0.356191500995,30.6420328758,31.3422231786,-0.700190302776,-4.84203287578
2010-01-22,40.3,7.00935193101,0.0,14218.0878788,452779.814524,48.4583333333,0.0,3.01666666667,6.7,0.6,6.5,0.318660977694,0.221589174151,0.361409863023,2.0,0.420744493333,22.22182012,22.6954534873,-0.473633367356,18.07817988
2010-01-23,24.7,3.02284777911,0.0,14388.8424242,452408.343885,54.125,0.0,1.05833333333,4.4,-2.2,3.0,0.427022654705,0.0997036483985,0.339513387988,2.0,0.449327667962,24.6583422165,25.2703520633,-0.612009846731,0.0416577834698
2010-01-24,35.9,5.93995162963,0.0,14559.5969697,452036.873245,82.4166666667,0.02,4.26666666667,10.0,0.6,2.45833333333,0.612628957871,0.0461693577685,0.239730528586,2.0,0.303520415496,30.1984080308,30.6737970883,-0.475389057527,5.7015919692
2010-01-25,29.3,6.17709507966,0.0,14730.3515152,451665.402606,86.875,1.25,11.6291666667,13.3,9.4,4.3125,0.18234446219,-0.147390212427,0.215204047658,2.0,0.314547264484,30.6410739526,31.0796583393,-0.438584386695,-1.34107395262
2010-01-26,20.1,3.23855565856,0.0,14901.1060606,451293.931967,51.3333333333,0.0,4.88333333333,8.3,1.7,8.70833333333,-0.0214861800414,-0.359423611975,0.25604739738,2.0,0.302257240612,20.4664079334,20.7330673247,-0.266659391265,-0.366407933446
2010-01-27,19.8,2.55783819502,0.0,15071.8606061,450922.461328,52.0,0.0,1.31666666667,3.3,-0.6,6.91666666667,0.0403609732506,-0.367442343901,0.250721996594,2.0,0.321099407921,21.0201987238,21.5207918546,-0.500593130792,-1.22019872384
2010-01-28,23.1,3.28486869126,0.0,15242.6151515,450550.990688,57.4583333333,0.09,0.216666666667,5.0,-6.7,8.58333333333,0.0582171510651,-0.34321662511,0.26486315946,2.0,0.338624879948,23.3007910037,23.9907780861,-0.689987082426,-0.200791003719
2010-01-29,18.9,3.98758035674,0.0,15413.369697,450179.520049,40.5,0.0,-7.20416666667,-5.0,-8.9,11.6666666667,0.0708211919852,-0.236246292465,0.417569665973,2.0,0.456796647985,16.6542392652,17.5718132753,-0.917574010028,2.24576073475
2010-01-30,18.3,2.97462700134,0.0,15584.1242424,449808.04941,43.5416666667,0.0,-8.35833333333,-6.7,-10.6,8.875,0.232829452612,-0.105743382177,0.343917978087,2.0,0.445222900692,16.2592309125,17.0729902666,-0.813759354121,2.04076908754
2010-01-31,18.1,2.35076305835,0.0,15754.8787879,449436.578771,39.7083333333,0.0,-5.43333333333,-1.1,-10.0,6.33333333333,0.0291346889016,-0.154405710996,0.283199911598,2.0,0.334883140924,20.8869246907,21.3452259293,-0.458301238549,-2.7869246907
2010-02-01,25.7,4.96039843476,0.0,15925.6333333,449065.108131,42.125,0.0,-1.2875,1.7,-3.9,8.04166666667,-0.0285016786105,-0.28537503115,0.0,2.0,0.0356767089079,18.4156742117,18.4192780076,-0.00360379591868,7.28432578828
2010-02-02,22.1,3.12009615236,0.0,15770.9235222,444056.622697,53.625,0.03,-0.783333333333,0.6,-2.2,4.25,0.149535811,0.0316719507641,0.010413954888,2.0,0.069293459515,22.1638996577,22.1864233668,-0.0225237090728,-0.0638996576875
2010-02-03,27.1,4.44916333121,0.0,15616.213711,439048.137263,73.8333333333,0.06,0.291666666667,3.3,-1.7,5.125,0.395020153709,-0.185150520733,0.0074272985987,2.0,0.0699399649002,27.6807596228,27.7038571412,-0.0230975183798,-0.580759622841
2010-02-04,25.6,6.59663808754,0.0,15461.5038998,434039.651829,39.9166666667,0.0,0.154166666667,2.2,-2.2,8.83333333333,0.0978040148056,-0.268071546715,0.00681561433221,2.0,0.0899926115479,18.3805533615,18.395490479,-0.0149371174519,7.21944663848
2010-02-05,25.6,3.50837249109,0.0,15306.7940887,429031.166395,48.125,0.0,0.533333333333,2.2,-1.1,4.70833333333,0.416053492792,-0.194579625798,0.0250676930724,2.0,0.101519646017,20.9037144399,20.9472283945,-0.0435139546878,4.69628556014
2010-02-06,16.2,2.84176919786,0.0,15152.0842775,424022.68096,50.125,0.0,-3.11666666667,0.0,-6.1,13.5833333333,0.182621751793,0.153803091859,0.0151438070921,2.0,0.0787313480032,15.6725278967,15.709720847,-0.037192950285,0.527472103262
2010-02-07,17.7,2.66446013783,0.0,14997.3744663,419014.195526,49.0416666667,0.0,-4.40833333333,1.1,-8.3,10.0416666667,0.197359884192,-0.436738121731,0.0380930985367,2.0,0.0736466238077,15.9086883957,16.0297959893,-0.121107593637,1.79131160432
2010-02-08,14.9,2.06480004104,0.0,14842.6646552,414005.710092,50.5416666667,0.0,-1.57083333333,2.8,-5.0,9.66666666667,0.0285016786105,-0.327041697817,0.200631527396,2.0,0.278274057105,15.7073367915,16.0013085487,-0.29397175727,-0.807336791455
